"Judul","Sinopsis","Genre"
"Class 7e","Bagi Jendra, menjadi anggota kelas XII IPA 1 di sekolah asrama SMA Dermaga, yang akrab disebut sebagai Class 7E atau 7 Excellent, adalah sebuah kebanggaan besar. Class 7E memang istimewa. Menurut rumor, alumni kelas tersebut  akan mendapat serangkaian keuntungan, seperti mendapat gedung asrama terpisah, juga mendapat beasiswa ke kampus mana pun.

Semula, Jendra pikir dia akan menjalani tahun terakhirnya di SMA dengan menyenangkan. Namun, ternyata dugaannya salah.

Di hari pertamanya saja dia sudah menghadapi serangkaian peraturan dan permainan aneh. Yang lebih mengerikan, semakin lama peraturan dan permainannya semakin tidak masuk akal, dan membuka tabir misteri yang lebih besar lagi. Persahabatan, persaingan, hingga pengkhianatan, mewarnai hari-hari anggota Class 7E.

Tertarik untuk menjadi anggota Class 7E?
Think twice.
Think about theory.

Tahun Terbit : Cetakan Kedua, Mei 2024

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.
 
Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Misteri"
"Penebusan","Seorang mahasiswi melakukan percobaan bunuh diri.
Kekasihnya mencoba mencari tahu apa alasan gadis itu.
Namun, kenyataannya lebih mengerikan daripada yang dia duga….
 
Prolog
BERITALOKAL.com - Pria berinisial A (56) yang dikabarkan menghilang sejak sebulan lalu akhirnya ditemukan. Jenazahnya ditemukan di jurang dekat jalur L. Polisi menduga A mengalami kecelakaan tunggal saat berkendara, Sabtu (XX/10). A adalah pengajar yang sempat dilaporkan atas dugaan pencabulan. 

Meski begitu, A terbukti tidak bersalah dan mendapat putusan bebas di pengadilan. ""Setelah kasus itu, citra A sudah terlanjur tercoreng. Kelihatannya dia stres berat. Sebagai sesama guru, saya sangat prihatin. Bayangkan saja, pengabdian yang dilakukan selama berpuluh tahun seperti tidak ada artinya hanya karena satu kasus,"" jelas BWI, salah seorang guru di SMA Y.

Tahun Terbit : Cetakan Pertama, Maret 2024

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.
 
Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.

Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.
 
Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Misteri"
"The Ink Black Heart","Ketika Edie Ledwell, dalam keadaan panik dan awut-awutan, muncul di kantor biro detektif serta meminta berbicara dengannya, Robin Ellacott tidak yakin bagaimana harus menangani situasi tersebut. Edie, kokreator kartun populer The Ink Black Heart, dipersekusi oleh sosok online misterius yang menggunakan nama samaran Anomie. Dia ingin mengetahui identitas Anomie yang sebenarnya. Robin memutuskan bahwa biro detektif mereka tidak dapat membantu Edie---dan Robin tidak memikirkannya lagi hingga beberapa hari kemudian dia membaca berita mengejutkan bahwa Edie Ledwell telah dibunuh di Highgate Cemetery, lokasi The Ink Black Heart. Robin dan partner bisnisnya, Cormoran Strike, terseret dalam upaya keras mengungkap identitas sejati Anomie. Namun, dunia daring yang kompleks dan ruwet penuh nama alias, sementara kepentingan bisnis serta konflik keluarga mesti dihadapi, Strike dan Robin terlibat kasus yang menguji kemampuan deduksi mereka… dan mengancam keberlangsungan hidup serta penghidupan mereka. Misteri yang cerdas dan menegangkan. The Ink Black Heart adalah karya Robert Galbraith yang membuktikan kekuatan, keterampilan, dan kecerdikannya. Robert Galbraith adalah nama alias J.K. Rowling, pengarang serial HARRY POTTER. THE INK BLACK HEART adalah buku keenam dari serial detektif Cormoran Strike. Film serialnya ditayangkan di HBO Go dengan judul seri C.B. STRIKE. Selling Point: Robert Galbraith adalah nama alias J.K. Rowling, pengarang serial HARRY POTTER. THE INK BLACK HEART adalah buku keenam dari serial detektif Cormoran Strike. Film serialnya ditayangkan di HBO Go dengan judul seri C.B. STRIKE.","Misteri"
"Sherlock Holmes : Lembah Ketakutan","Meski aku yakin diriku adalah salah satu makhluk paling menderita di dunia, interupsi Sherlock Holmes nyatanya jauh lebih mengganggu. ""Sungguh, Holmes,"" sahutku keras, ""kau kadang-kadang agak menyebalkan. """"

Orang itu lihai sekali menggunakan otaknya untuk membantahku. Dia bersandar pada tangannya, dengan sarapan yang belum dicicipinya sedikitpun, dan menatap secarik kertas yang baru saja dikeluarkannya dari amplop. Kemudian, dia mengambil amplopnya, mengarahkannya ke cahaya, dan dengan hati-hati dia amati setiap sisi luar maupun dalam dari amplop tersebut.

Sebuah tragedi pembunuhan terjadi lagi, kali ini menggemparkan penduduk di sekitar Birlstone, Manor. Sang pemilik rumah yang kaya raya, John Douglas, ditemukan tewas mengenaskan di dalam ruangannya. Penyelidikan dilakukan dan bukti-bukti pun terkumpul, mulai dari dugaan pencurian, hingga fakta bahwa Nyonya Douglas yang cantik ternyata memiliki hubungan dekat dengan rekan suaminya sendiri. Masalahnya, kematian Douglas yang malang disampaikan oleh kaki tangan Profesor Moriarty yang. terkenal sangat cerdas, tapi licik. 

Lalu, sebenarnya apa motif pembunuhan itu? Pencurian? Dendam masa lalu? Atau justru masalah sepele cinta segitiga? Dan apa keterlibatan Moriarty di dalamnya?

Sherlock Holmes dan dr. John Watson ditantang untuk memecahkan kasus paling rumit dan paling 'membahayakan yang pernah mereka hadapi. Tidak hanya soal pembunuh, mereka juga perlu waspada terhadap ancaman si jenius kejam, Moriarty. Akankah rahasia terkuak?","Misteri"
"Lelaki di Sudut Kafe","LELAKI DI SUDUT KAFE

""Ah, begitu rupanya. Pengajaranku sepertinya tidak memperbaiki kekuatan penalaranmu. Logikamu seburuk logika polisi. Lady Donaldson telah dirampok dan dibunuh, dan kau langsung menganggap bahwa dia dirampok dan dibunuh oleh orang yang sama.

""Tapi-""

Adrenalin Polly Burton selalu naik tiap bertemu si lelaki tua di sudut kafe, semenjak tahu bahwa laki-laki itu, meskipun tidak bertampang rupawan, tetapi memiliki kecerdasan analisis luar biasa melebihi detektif di kepolisian. Ketika polisi kerap kali salah arah saat melakukan investigasi sehingga salah pula menyeret orang ke persidangan, lelaki itu justru tahu pasti bagaimana sebenarnya sebuah kejahatan dilakukan.

Bersama lelaki inilah, Polly menghabiskan waktu menanyakan perihal kejelasan berbagai kasus sensasional hingga kadang tanpa sadar dia sudah ditinggalkan begitu saja dengan sehelai benang di atas meja, sebagai tanda penutup pertemuan mereka.

Dan, Polly tidak pernah tahu siapa nama lelaki di sudut kafe itu.
Kumpulan cerita ini menghadirkan tokoh awanama seorang “detektif di kursi berlengan (armchair detective)"" yang hanya disebut sebagai Lelaki Tua di Sudut Kafe. Dia memeriksa dan memecahkan kasus-kasus kejahatan sembari duduk di sudut kafe di London dan berbincang dengan seorang perempuan wartawan. Dia termasuk tokoh rekaan tipikal awal-awal yang diciptakan ketika kisah-kisah Sherlock Holmes sangat populer. Pertama kali muncul di The Royal Magazine pada tahun 1901 dalam enam seri tentang 'Misteri-Misteri London'. Tahun depannya dia kembali muncul dalam tujuh seri 'Misteri-Misteri Kota-Kota Besar' yang berlatar pusat-pusat provinsi di Kepulauan Britania. Cerita-ceritanya dituturkan oleh wanita wartawan awanama, yang melaporkan percakapannya bersama ‘lelaki di sudut kafe' di meja yang selalu sama di Kafe A.B.C. Saat diterbitkan sebagai buku kumpulan cerita, 12 cerita itu ditulis ulang dengan sudut pandang orang ketiga, dan tokoh wartawan diberi nama Polly Burton. Buku kasus-kasus awal ini terbit empat tahun setelah buku The Case of Miss Elliot.","Misteri"
"Devotion of Suspect X (Kesetiaan Mr. X)","Kesetiaan Mr. X (Devotion of Suspect X) merupakan novel yang masuk dalam serial Detektif Galileo karya Keigo Higashino yang populer, seperti Salvation of a Saint dan A Midsummer's Equation. Buku ini meraih penjualan tertinggi kedua di seluruh Jepang, baik itu fiksi atau nonfiksi, dengan lebih dari 800 ribu eksemplar terjual.
Saking larisnya, novel ini juga diadaptasi menjadi film di Jepang, dan berhasil menduduki puncak box office selama 4 minggu. Film ini pun berhasil menjadi film terlaris ketiga pada tahun 2017. Versi terjemahan bahasa Indonesia dari buku ini terbit pada 29 juni 2021 melalui penerbit GPU (Gramedia Pustaka Utama). Yuk simak sinopsisnya berikut ini!
Sinopsis:
Ketika si mantan suami muncul lagi untuk memeras Yasuko Hanaoka dan putrinya, keadaan menjadi tak terkendali, hingga si mantan suami terbujur kaku di lantai apartemen. Yasuko berniat menghubungi polisi, tetapi mengurungkan niatnya ketika Ishigami, tetangganya, menawarkan bantuan untuk menyembunyikan mayat itu.

Saat mayat tersebut ditemukan, penyidikan Detektif Kusanagi mengarah kepada Yasuko. Namun sekuat apa pun insting detektifnya, alibi wanita itu sulit sekali dipatahkan. Kusanagi berkonsultasi dengan sahabatnya, Dr. Manabu Yukawa sang Profesor Galileo, yang ternyata teman kuliah Ishigami.

Diselingi nostalgia masa-masa kuliah, Yukawa sang pakar fisika beradu kecerdasan dengan Ishigami, sang genius matematika. Ishigami berjuang melindungi Yasuko dengan berusaha mengakali dan memperdaya Yukawa, yang baru kali ini menemukan lawan paling cerdas dan bertekad baja.","Misteri"
"Keajaiban Toko Kelontong Namiya","Disclaimer
Buku novel fiksi yang berjudul Keajaiban Toko Kelontong Namiya ini merupakan karya dari Keigo Higashino. Buku novel ini dapat dinikmati mulai dari pembaca remaja hingga dewasa. Keajaiban Toko Kelontong Namiya merupakan novel best seller internasional dari Jepang yang ditulis oleh Keigo Higashino. Ia adalah salah satu penulis terpopuler di negeri sakura yang sudah menulis berbagai jenis novel dengan hasil penjualannya yang mencapai ratusan juta eksemplar di seluruh dunia. Maka tidak heran apabila karyanya banyak yang berhasil dialihwahanakan ke dalam bentuk film ataupun serial televisi di berbagai negara.

Berbeda dengan karya-karya dari Keigo Higashino lainnya yang mengambil genre horor-misteri, karya tulisnya terbitan tahun 2012 ini, memuat genre fantasi yang tentunya lain dari yang lain. Bagi penyuka novel dengan genre fantasi yang mampu menghangatkan hati, Keajaiban Toko Kelontong Namiya ini dapat dijadikan referensi bacaan yang tepat.

Sinopsis
Ketika tiga pemuda berandal bersembunyi di toko kelontong tak berpenghuni setelah melakukan pencurian, sepucuk surat misterius mendadak diselipkan ke dalam toko melalui lubang surat. Surat yang berisi permintaan saran. Sungguh aneh. Namun, surat aneh itu ternyata membawa mereka dalam petualangan melintasi waktu, menggantikan peran kakek pemilik toko kelontong yang menghabiskan tahun-tahun terakhirnya memberikan nasihat tulus kepada orang-orang yang meminta bantuan. Hanya untuk satu malam. Dan saat fajar menjelang, hidup ketiga sahabat itu tidak akan pernah sama lagi...

Judul : Keajaiban Toko Kelontong Namiya
Rating : remaja
Penulis : Keigo Higashino
Tebal : 400 halaman 
Berat : 0,35 kg
Format : Soft Cover 
Tanggal Terbit : 16 Des 2020
Dimensi : 20 x 13,5 cm","Misteri"
"English Classics: Sherlock Holmes - Short Stories#1","""Crime is common. Logic is rare.
Therefore it is upon the logic rather than upon the crime that you should dwell""

Koleksi cerita pendek Sherlock Holmes yang pertama—dan yang paling legendaris—adalah The Adventures of Sherlock Holmes (Petualangan Sherlock Holmes) karya Sir Arthur Conan Doyle","Misteri"
"Detektif Conan the Movie: The Bride of Halloween 01","Toru Amuro mengejar pelaku pengeboman berantai yang melarikan diri dari penjara. Tapi kemudian, pelaku meledak akibat bom yang dipasang oleh sosok bertopeng mencurigakan. Bahkan sosok tersebut sampai bisa memasang kalung bom pada Amuro! Amuro yang tak bisa berkutik, akhirnya meminta bantuan Conan. Sementara itu di Shibuya, detektif Sato tampil mengenakan gaun pengantin.

Selling Point:
- Komiknya best seller di banyak negara.
- Komiknya sudah diangkat menjadi film, serial animasi, drama tv, game, dsb.
- Movie-nya sudah ditayangkan di berbagai negara.
- Di Jepang movie-nya memecahkan rekor box office

Manga Detective Conan pertama kali diserialkan dalam edisi kelima Weekly Shōnen Sunday pada tahun 1994, ditulis dan digambar oleh Gosho Aoyama, dan telah muncul di sana sejak itu. Tankoubon pertama juga diterbitkan oleh Shogakukan pada Juni 1994; itu telah mencapai 100 volume yang diterbitkan pada 18 Oktober 2021, dan berlanjut hingga hari ini. Manga ini sangat populer di Jepang; tankoubon telah menerima banyak tempat pertama dalam daftar buku terlaris.

*****
Di antara jenis buku lainnya, komik memang disukai oleh semua kalangan mulai dari anak kecil hingga orang dewasa. Alasan komik lebih disukai oleh banyak orang karena disajikan dengan penuh dengan gambar dan cerita yang mengasyikan sehingga mampu menghilangkan rasa bosan di kala waktu senggang.

Komik seringkali dijadikan sebagai koleksi dan diburu oleh penggemarnya karena serinya yang cukup terkenal dan kepopulerannya terus berlanjut sampai saat ini. Dalam memilih jenis komik, ada baiknya perhatikan terlebih dahulu ringkasan cerita komik di sampul bagian belakang sehingga sesuai dengan preferensi pribadi pembaca.","Misteri"
"Panji Tengkorak","Sinopsis:

Pendekar ilmu hitam yang tersohor akan kekejaman aksinya membantai satu desa tempat tinggal orang-orang yang bertanggung jawab atas kematian guru dan kekasihnya. Satu-satunya yang diinginkan Panji adalah mengakhiri hidupnya. Namun ajian ilmu hitam yang membelenggunya, membuatnya tidak bisa mengakhiri hidup. Hingga ia bertemu dengan seorang pendekar bernama Bramantya, yang memberitahunya perihal pusaka AJi Saka yang mampu melepaskannya dari belenggu ilmu hitam. Namun, pusaka tersebut dikuasai oleh sekelompok bandit.

*************

Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan. Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas. Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi. Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca. Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik. Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.
","Misteri"
"Everything Becomes F: The Perfect Insider","Sejak kecil, Profesor Magata Shiki hidup terisolasi di ruangannya di sebuah pusat riset berteknologi tinggi.

Namun, pada suatu malam, ruangan yang seharusnya selalu terkunci rapat bak penjara itu tiba-tiba terbuka.

Dari dalamnya, sebuah mayat bergaun pengantin muncul, menggelinding di atas robot-dengan tangan dan kaki yang termutilasi.

Kebetulan, Saikawa Sohei-seorang dosen jurusan arsitektur-dan Nishinosono Moe, mahasiswinya, sedang mengunjungi pulau tersebut. Kini, mereka berdua harus memecahkan misteri pembunuhan ruang tertutup yang tampak mustahil ini.

******
Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan. Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas. 

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi. Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca. Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik. Bergabunglah dalam kelompok membaca atau forum literasi. Diskusikan buku yang Anda baca dan dapatkan rekomendasi dari sesama pembaca. Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan. 

Libatkan keluarga dalam kegiatan membaca. Bacakan cerita untuk anak-anak atau ajak mereka membaca bersama. Ini menciptakan ikatan keluarga yang erat melalui kegiatan positif. Jangan ragu untuk menjelajahi genre baru. Terkadang, kejutan terbaik datang dari buku yang tidak pernah Anda bayangkan akan Anda nikmati. Manfaatkan teknologi dengan membaca buku digital atau bergabung dalam komunitas literasi online. Ini membuka peluang untuk terhubung dengan pembaca dari seluruh dunia.","Misteri"
